,Country Name,"Agriculture, forestry, and fishing, value added (% of GDP)","Agriculture, forestry, and fishing, value added (annual % growth)",Exports of goods and services (% of GDP),Exports of goods and services (annual % growth),Final consumption expenditure (% of GDP),Final consumption expenditure (annual % growth),GDP (current US$),GDP growth (annual %),Gross capital formation (% of GDP),Gross capital formation (annual % growth),Imports of goods and services (% of GDP),Imports of goods and services (annual % growth),"Industry (including construction), value added (% of GDP)","Industry (including construction), value added (annual % growth)","Manufacturing, value added (annual % growth)","Services, value added (% of GDP)","Services, value added (annual % growth)",Response Group
0,Argentina,5.93240449413718,-7.13572298632978,16.5918166322906,-17.3268478263307,79.0510858768751,-12.051155287909,389591035520.675,-9.89526896368687,14.0197297332795,-11.0168846571968,13.5563249239753,-17.8650581500754,23.3112183791703,-9.36905310014301,-7.76065029472358,54.6126744852331,-10.5921085406466,3
1,Australia,2.00609228488954,-10.0685722044945,23.9838535266898,-1.74103320331082,73.8028720771622,-0.416538662485152,1327836171068.51,-0.00383655856659,22.2689470161031,,20.0556726199551,-7.66670617738453,25.4620958711998,0.0494615977603559,-1.37096134699595,66.2808084948704,0.643602666106901,2
2,Austria,1.09990874209402,-3.06058655667287,51.4350078993873,-10.7591741934498,71.324372715257,-6.27330009589348,433258467676.515,-6.73451407608768,25.9012034570444,-4.64638283775844,48.5639349472647,-9.3765407184748,25.4578528514247,-5.65944707062326,-6.99707647330359,63.1456649752916,-7.303379672175,3
3,Belgium,0.638361925989339,-6.82466708941027,80.0420378274763,-5.459022174795,74.3959634927742,-5.79663770991736,521676942134.632,-5.68073365528822,24.1974113894049,-6.9285520171066,78.6354127096555,-5.94430937891669,19.4793002015407,-3.09328751555694,-3.68745540696291,69.5889379208572,-5.8880871896454,2
4,Brazil,5.89324626620754,3.75374576491208,16.795068432705,-1.84290472938015,83.3696931846418,-5.22375216928963,1448565936739.56,-3.87867633425788,15.9306220546893,-4.02625457733279,16.0953836720361,-9.8406184954689,17.7016526357078,-3.40092821062179,-4.35761419892368,62.7952112739525,-4.34470107941758,2
5,Bulgaria,3.50599323872738,-3.30180492383056,55.3232894004537,-12.0669859116977,78.1911830444688,1.53358482606667,69889347433.4324,-4.38714983385256,20.3397656579802,-5.27952709243239,53.8542381029027,-5.39374503744563,21.9233469722538,-8.21867773844276,,61.253206484073,-3.33859105192185,2
6,Canada,,3.32880756999998,29.3634480170965,-8.69268443111815,79.8069480923198,-4.55965297811764,1645423407568.36,-5.23302430280606,22.2570696277445,-9.81802130444058,31.4190824211379,-10.85823247889,,-6.31069120678227,-9.68537907249083,,-4.96700017476014,2
7,China,7.69864251697224,3.13212764889532,18.541060011129,,55.3304418948131,-0.273954334985575,14687673892882.0,2.2397018568489,43.3666743293734,4.31080407949531,16.048189509327,,37.8427869099921,2.46484594534564,,54.4585607068896,1.9479536941986,3
8,Croatia,3.21650747053823,3.62661325530915,42.0248936202919,-22.7255354496602,82.849174228763,-2.81956698022249,57203783203.0259,-8.09976125177539,23.9088779771167,-2.81390713767273,48.7828213932549,-12.2606879010238,21.155323837003,-1.52310782048677,-3.86376903526599,59.3496988484989,-8.37166944556571,2
9,Cyprus,1.93084166707913,-1.38449118245298,75.7805118251377,-5.10632920924076,83.355085338883,-0.942780809151188,24692095945.1742,-4.98429265744747,19.1692405332055,-11.3007137853831,78.3048376972263,-2.5479176167826,12.6060867067291,-6.38370181749592,-5.43501258826134,74.2868443000787,-4.43252374117317,2
10,Denmark,1.30632929331133,6.05783457877816,54.8815410876214,-7.00671985854947,70.6231837713115,-1.45088152477409,356084867685.639,-2.06212495876164,22.9259845454805,4.51319214455863,48.430707687352,-4.07973665841321,21.1671064165408,-0.726393623989338,-0.268786653574651,64.5501646665762,-3.02766428281154,2
11,Estonia,2.16649665555797,-6.06247481693211,71.1758186404743,-4.97787277374026,71.0466380227171,-0.966600085828787,30650285471.7215,-2.95106931268964,30.2439123098191,14.7722440271393,70.6935443341806,0.856447553334206,22.6521017461053,-4.03519076649086,-8.60187155642363,62.6920487978899,-2.06410906125298,2
12,Finland,2.44921111788063,4.50606585788562,35.7587344271939,-7.47293285602025,75.341918947877,-2.70846359347468,271836962949.417,-2.29925608460077,24.5118594928465,-0.0680670838926716,35.5204941280279,-6.64338360858021,24.0332780100422,-1.12111400175935,-2.05884056292349,60.1134477615076,-3.10866378231486,2
13,France,1.59684045057016,-0.14568346143929,27.8736440773647,-15.8171476004495,78.2082714537575,-5.90231054747203,2630317731455.26,-7.85525603703762,23.8118687197659,-9.02870548385876,29.893784250888,-11.8657441646593,16.4450292245295,-11.229973194411,-10.9325636914904,71.1633794499014,-7.39461401825685,2
14,Germany,0.735309838577486,1.68711656441718,43.4168953188659,-9.31906079754351,73.1257349534975,-3.21802829664762,3846413928653.71,-4.56961671737398,21.1490218437088,-6.36662049366049,37.6916521160722,-8.58723375649573,26.531732174037,-7.35208570408895,-10.0233540282816,63.312546769768,-3.83139280507126,3
15,Greece,4.23080455249904,-4.21455131327636,31.9840015655815,-21.5453689266812,92.6168470331727,-5.49563817362765,188835201625.91,-9.01912908499726,14.9980704536728,10.5604490056722,39.5989190524271,-7.63060778686278,14.9974994620793,1.99816808739637,7.46888778585675,68.5575869851709,-11.5546129809024,3
16,Hungary,3.38082220485416,-8.65273270226847,79.0087418142912,-6.07623407264755,70.6046165905249,-1.08092986494748,156743134665.959,-4.46322087037791,27.3155892045969,-6.63879888896753,76.9289476094129,-3.95672022839767,24.6275573824814,-7.2013486299853,-6.99633211602244,56.6190269967106,-3.29777208845444,2
17,India,18.2289275679861,3.31578943851405,18.7088986865584,-9.23818472652711,72.8554878134402,-4.54269737956011,2667687951796.56,-6.59608052232176,27.8963066951088,-11.3874790271352,19.0964548921913,-13.8101040876343,24.5310661885547,-3.26441826827538,-0.59938501116018,48.4368567724977,-7.82099624858917,2
18,Indonesia,13.7024660064027,1.76700501351486,17.2714213388682,-8.13956752459607,68.5019766263524,-2.09843514570854,1058688935454.78,-2.06500494092904,32.3545906097835,-6.89722578137564,15.7041742336216,-16.7174175808494,38.2516051688632,-2.80013598220636,-2.93180673965698,44.3959193594644,-1.45154941136011,2
19,Ireland,0.92947432961091,-1.90145750869814,131.112559974595,9.49758443929201,37.7002196814689,-5.19571656576443,425888950992.003,5.86697550911293,40.8819985038103,-22.0526785557697,108.838469302613,-7.44322028698622,37.953621617397,20.2126078299841,23.0468804884078,54.7862816119187,-3.50246013883881,3
20,Italy,2.00990886506843,-4.73832711386184,29.5325109400603,-13.4258307370851,78.6341039953452,-7.93896341747097,1892574064222.11,-9.0256689277568,17.70351584078,-10.8574639306603,25.8701307761856,-12.1106771512228,21.6067526526127,-10.2723972695968,-11.4443011629137,66.8157609290311,-8.49396498232083,3
21,Japan,1.04427085559301,-6.1753346807276,15.5585542763298,-11.8016492345589,74.8266950401315,-3.23407059839055,5040107754084.11,-4.50690454226634,25.4149080358573,-5.07466002199034,15.8001573523187,-7.16452629496108,29.0168416037449,-4.33156755715906,-6.62668919502579,69.4653997711442,-4.61083244400653,1
22,Latvia,4.03777855692211,0.796743913201368,60.4381546192908,-2.15332769068303,77.1299722278199,-4.89828322344646,33645460617.239,-3.76907840008469,21.6953828275262,-0.770587210541038,59.2635096746369,-2.46494099611454,19.3750573721206,-0.742568537091884,-0.862681954175983,63.4922287595509,-4.90421496695379,2
23,Lithuania,3.23702260577209,9.43839057029589,73.5014363459651,0.434039734760105,77.2441285991743,-1.73388793383263,56546957475.4912,-0.132431460828812,13.4701738370581,-13.0146884297566,64.2157408021048,-4.38018164758876,24.978363258226,1.24617916968046,1.12551947535881,61.6056590368642,-1.17711359811852,3
24,Malta,0.437712924072268,-14.8175889867812,149.234806231185,-5.6202011561731,65.3757117690104,-3.248288982773,14917038504.285,-8.34879817561675,21.9861848270865,-7.63340103115003,136.596702827282,-2.22813220632926,13.3999012006283,-0.77947603988305,-2.19317063452586,76.8707178190994,-8.33192020864409,2
25,Mexico,3.79849641975051,0.306680349330748,39.6030465121765,-7.29226824829465,75.6718002083748,-8.93660233581119,1087117783073.31,-8.16735801037942,19.1616551894594,-19.4193298326189,37.5557252363222,-13.734970151844,29.620622838715,-9.79117877164532,-9.56686398613881,60.2730287681984,-7.51241323031138,2
